Open,High,Low,Close,Volume,Time,Base Value
0.23736,0.23841,0.23736,0.23841,5900.98099141,2020-11-01T13:00:00,1404.20252961
0.23894,0.23894,0.23891,0.23891,892.91751819,2020-11-01T14:00:00,213.34869898
0.23978,0.23978,0.23904,0.23974,6323.99685242,2020-11-01T15:00:00,1515.72467202
0.23975,0.24,0.2395,0.2395,38093.13211081,2020-11-01T16:00:00,9133.8396821
0.23951,0.23951,0.2395,0.2395,729.27329778,2020-11-01T17:00:00,174.66481679
0.2395,0.23963,0.2387,0.23906,3188.271961,2020-11-01T18:00:00,761.66634523
0.23956,0.24029,0.23953,0.23953,1555.31511819,2020-11-01T19:00:00,373.32616106
0.24004,0.2406,0.24004,0.24029,3421.33851914,2020-11-01T20:00:00,822.12959812
0.24044,0.24107,0.24,0.24107,56727.12841644,2020-11-01T21:00:00,13638.17660762
0.24078,0.24078,0.24019,0.24019,1391.22730649,2020-11-01T22:00:00,334.58905574
0.24019,0.24019,0.24019,0.24019,0.0,2020-11-01T23:00:00,0.0
0.24072,0.24307,0.24072,0.243,8334.33500211,2020-11-02T00:00:00,2018.79434979
0.24309,0.2448,0.24203,0.2448,19191.43474645,2020-11-02T01:00:00,4662.8765617
0.24448,0.24448,0.24225,0.2425,3314.7980179,2020-11-02T02:00:00,803.57970193
0.24154,0.2416,0.2405,0.24106,9509.9048152,2020-11-02T03:00:00,2294.16829674
0.24031,0.2405,0.23991,0.2405,5315.39016698,2020-11-02T04:00:00,1275.38895862
0.24032,0.2412,0.24031,0.2412,5348.61668389,2020-11-02T05:00:00,1286.88737877
0.24053,0.24053,0.24053,0.24053,13.35459333,2020-11-02T06:00:00,3.21218033
0.24094,0.242,0.24094,0.24196,13042.80880424,2020-11-02T07:00:00,3154.07272792
0.24093,0.24093,0.2365,0.2365,12399.13580842,2020-11-02T08:00:00,2949.38421946
0.2363,0.2375,0.2363,0.2375,137.74605558,2020-11-02T09:00:00,32.64821193
0.238,0.238,0.238,0.238,93.9514645,2020-11-02T10:00:00,22.36044855
0.2363,0.23721,0.2355,0.23612,24887.53286608,2020-11-02T11:00:00,5880.31631097
0.2355,0.2355,0.234,0.235,3633.08831062,2020-11-02T12:00:00,853.71951152
0.2354,0.236,0.2354,0.236,943.15856498,2020-11-02T13:00:00,222.05593919
0.2355,0.23557,0.2339,0.23557,852.27674842,2020-11-02T14:00:00,200.15735793
0.23558,0.23568,0.2353,0.23539,5919.20568603,2020-11-02T15:00:00,1394.75290844
0.23538,0.23538,0.23538,0.23538,2972.42830704,2020-11-02T16:00:00,699.65017491
0.2359,0.23649,0.23519,0.23519,12527.8292796,2020-11-02T17:00:00,2949.99208537
0.23464,0.235,0.23439,0.23439,6787.0914381,2020-11-02T18:00:00,1594.58218322
0.23647,0.237,0.23624,0.237,48594.27049011,2020-11-02T19:00:00,11508.65072581
0.23668,0.23696,0.236,0.23652,36651.29007883,2020-11-02T20:00:00,8676.86550961
0.23578,0.23578,0.23569,0.23569,2767.09470095,2020-11-02T21:00:00,652.38788066
0.23577,0.23577,0.235,0.23577,21843.64641669,2020-11-02T22:00:00,5135.53682471
0.23541,0.23577,0.235,0.235,174104.14230823,2020-11-02T23:00:00,40924.17921412
0.23428,0.23472,0.23321,0.23449,44063.23122313,2020-11-03T00:00:00,10297.5558152
0.2366,0.23662,0.23575,0.2364,13639.78813058,2020-11-03T01:00:00,3217.83235674
0.23649,0.23688,0.233,0.233,23040.5620327,2020-11-03T02:00:00,5445.05359472
0.2335,0.2335,0.229,0.22916,109092.83065549,2020-11-03T03:00:00,25229.61629282
0.2305,0.2305,0.22874,0.22997,35383.35829811,2020-11-03T04:00:00,8116.64540364
0.23054,0.23086,0.23054,0.23086,95.28506708,2020-11-03T05:00:00,21.97064147
0.2304,0.23199,0.23019,0.23199,33178.57922303,2020-11-03T06:00:00,7681.16471391
0.23196,0.23196,0.23195,0.23195,13197.76097503,2020-11-03T07:00:00,3061.35183568
0.23186,0.23297,0.23137,0.23283,1723.20914162,2020-11-03T08:00:00,399.85195637
0.23146,0.233,0.23146,0.233,11072.63297809,2020-11-03T09:00:00,2571.87389529
0.23311,0.24291,0.23245,0.24289,14784.5770574,2020-11-03T10:00:00,3535.37951348
0.24227,0.2439,0.23891,0.24,77891.32389845,2020-11-03T11:00:00,18877.38144249
0.2389,0.2389,0.2365,0.237,2257.9987061,2020-11-03T12:00:00,535.09544402
0.2375,0.241,0.2375,0.23976,90250.62865809,2020-11-03T13:00:00,21704.59032471
0.23976,0.23976,0.23976,0.23976,0.0,2020-11-03T14:00:00,0.0
0.2405,0.24053,0.23864,0.23864,37472.06581035,2020-11-03T15:00:00,8981.36632523
0.2365,0.23754,0.2364,0.2364,11552.38264117,2020-11-03T16:00:00,2735.5013703
0.236,0.23668,0.23555,0.23668,3449.62148834,2020-11-03T17:00:00,813.52344324
0.23799,0.23866,0.23799,0.23799,189064.35179352,2020-11-03T18:00:00,44998.41953537
0.23946,0.2395,0.239,0.239,16228.35115497,2020-11-03T19:00:00,3886.12327949
0.2389,0.239,0.23865,0.23865,37078.70858494,2020-11-03T20:00:00,8851.69308194
0.23946,0.23946,0.23825,0.2388,1080.18237988,2020-11-03T21:00:00,258.13803433
0.23933,0.23943,0.23926,0.23926,12091.17514054,2020-11-03T22:00:00,2893.76238888
0.23922,0.24185,0.23922,0.23983,18886.01659055,2020-11-03T23:00:00,4544.04500216
0.24,0.24076,0.2382,0.2382,81781.9310044,2020-11-04T00:00:00,19577.95723272
0.23626,0.23883,0.23626,0.23883,7648.92473727,2020-11-04T01:00:00,1816.81217469
0.23797,0.23798,0.23651,0.23672,8956.33736878,2020-11-04T02:00:00,2128.18255365
0.23827,0.23941,0.23827,0.23941,49302.27472909,2020-11-04T03:00:00,11784.40706414
0.23943,0.2395,0.23943,0.2395,1552.04,2020-11-04T04:00:00,371.60857999
0.23899,0.23899,0.23836,0.23836,38652.58521666,2020-11-04T05:00:00,9224.37579583
0.2374,0.23793,0.23712,0.23722,864.46907524,2020-11-04T06:00:00,205.2044086
0.2368,0.2368,0.233,0.23372,5187.68007878,2020-11-04T07:00:00,1214.84244505
0.234,0.23695,0.234,0.23695,82841.44879175,2020-11-04T08:00:00,19520.29371334
0.237,0.23738,0.237,0.23738,377.87161243,2020-11-04T09:00:00,89.67938815
0.23641,0.23643,0.23533,0.23533,8237.28269566,2020-11-04T10:00:00,1947.08774262
0.23533,0.23533,0.23533,0.23533,0.0,2020-11-04T11:00:00,0.0
0.23503,0.2359,0.23503,0.23581,7025.32131144,2020-11-04T12:00:00,1656.61972342
0.23613,0.23613,0.23521,0.23549,11483.88726999,2020-11-04T13:00:00,2704.88520961
0.23521,0.23521,0.2336,0.23388,14042.8716306,2020-11-04T14:00:00,3284.26304652
0.23497,0.23649,0.23388,0.23442,207492.1061909,2020-11-04T15:00:00,48808.75390588
0.23791,0.23809,0.23499,0.23591,62848.70471595,2020-11-04T16:00:00,14887.34388702
0.23591,0.24,0.23591,0.23765,527682.77847012,2020-11-04T17:00:00,125759.47334265
0.23765,0.2385,0.237,0.2385,17876.44405929,2020-11-04T18:00:00,4245.36646807
0.23806,0.23832,0.23731,0.23761,431.93771367,2020-11-04T19:00:00,102.79000313
0.23786,0.23795,0.2361,0.2379,14673.26058224,2020-11-04T20:00:00,3478.77391018
0.23791,0.238,0.23791,0.238,7622.66467434,2020-11-04T21:00:00,1814.09240771
0.238,0.239,0.23767,0.23825,13766.87657345,2020-11-04T22:00:00,3276.55554309
0.23837,0.23837,0.237,0.238,31631.05672029,2020-11-04T23:00:00,7503.98766661
0.23837,0.23837,0.238,0.238,37836.78452975,2020-11-05T00:00:00,9008.19903975
0.239,0.23949,0.239,0.23949,4157.420542,2020-11-05T01:00:00,995.62704391
0.2395,0.24045,0.23903,0.23903,3163.68999215,2020-11-05T02:00:00,758.76620118
0.24043,0.24049,0.23802,0.23945,168420.13837305,2020-11-05T03:00:00,40243.01919685
0.23933,0.24141,0.23915,0.24081,134616.79562317,2020-11-05T04:00:00,32304.12803363
0.23972,0.24,0.2395,0.2398,2382.12799328,2020-11-05T05:00:00,571.18722429
