Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1605387600,461.93,462.00,459.61,460.06,461.10,527.71998841,250,2020-11-14,21:00:00
1605391200,460.18,462.67,460.18,462.28,461.97,533.22803860,247,2020-11-14,22:00:00
1605394800,462.31,464.29,461.09,461.18,463.31,2273.72546723,503,2020-11-14,23:00:00
1605398400,461.38,463.14,460.15,462.36,462.31,951.29541139,754,2020-11-15,00:00:00
1605402000,462.46,463.00,459.85,460.48,461.17,676.82665525,224,2020-11-15,01:00:00
1605405600,460.48,460.65,458.27,458.87,459.71,1368.32945993,380,2020-11-15,02:00:00
1605409200,458.82,458.90,457.12,458.38,458.13,825.35393317,244,2020-11-15,03:00:00
1605412800,458.38,459.68,457.06,459.36,458.92,531.54607820,224,2020-11-15,04:00:00
1605416400,459.37,461.60,458.82,461.39,460.71,636.46837842,264,2020-11-15,05:00:00
1605420000,461.48,461.78,460.55,460.90,461.34,743.04228667,272,2020-11-15,06:00:00
1605423600,460.96,462.25,460.19,461.18,461.15,872.30700766,181,2020-11-15,07:00:00
1605427200,460.97,462.81,460.97,461.31,461.89,492.76861691,147,2020-11-15,08:00:00
1605430800,461.50,461.50,459.53,460.12,460.19,998.33335012,273,2020-11-15,09:00:00
1605434400,460.13,460.53,457.57,458.19,458.55,1047.46529944,286,2020-11-15,10:00:00
1605438000,458.17,460.65,455.80,455.81,457.49,724.87144666,365,2020-11-15,11:00:00
1605441600,455.80,458.76,455.00,456.65,456.96,1675.88061814,327,2020-11-15,12:00:00
1605445200,456.63,458.98,455.47,458.43,457.58,1025.09920977,336,2020-11-15,13:00:00
1605448800,458.42,459.42,457.28,457.96,458.52,466.52670842,212,2020-11-15,14:00:00
1605452400,457.82,458.22,455.97,456.23,456.93,1051.05225272,305,2020-11-15,15:00:00
1605456000,456.43,457.26,452.05,454.23,453.93,3488.81167917,747,2020-11-15,16:00:00
1605459600,454.22,454.22,444.68,445.94,449.09,10014.33028768,2176,2020-11-15,17:00:00
1605463200,446.14,447.85,443.60,446.90,445.23,3345.49645549,918,2020-11-15,18:00:00
1605466800,446.89,448.17,445.01,445.71,446.10,2242.41254987,688,2020-11-15,19:00:00
1605470400,445.34,446.39,442.00,443.75,444.11,2624.95790208,963,2020-11-15,20:00:00
1605474000,443.75,445.42,442.94,444.01,443.93,1679.55865544,368,2020-11-15,21:00:00
1605477600,444.00,447.69,440.44,446.64,443.05,5715.63640670,1254,2020-11-15,22:00:00
1605481200,446.64,451.37,446.64,448.49,449.70,3704.05821577,815,2020-11-15,23:00:00
1605484800,448.22,450.85,445.95,450.43,448.12,2100.20784971,561,2020-11-16,00:00:00
1605488400,450.42,451.56,449.01,449.01,450.32,3565.55533938,838,2020-11-16,01:00:00
1605492000,449.01,450.12,447.42,447.54,448.97,847.88411562,275,2020-11-16,02:00:00
1605495600,447.81,450.45,447.75,449.98,448.99,1363.49675037,339,2020-11-16,03:00:00
1605499200,449.99,451.01,449.15,451.01,449.90,416.37361575,351,2020-11-16,04:00:00
1605502800,451.05,453.79,451.05,451.90,452.39,856.47691581,445,2020-11-16,05:00:00
1605506400,451.91,455.43,451.91,455.39,454.29,1659.40121855,506,2020-11-16,06:00:00
1605510000,455.45,456.51,454.40,455.40,455.44,1055.98021541,386,2020-11-16,07:00:00
1605513600,455.41,455.78,454.18,454.18,455.17,789.74220917,254,2020-11-16,08:00:00
1605517200,454.19,455.01,450.42,452.51,451.95,1320.60013588,485,2020-11-16,09:00:00
1605520800,452.61,456.20,451.98,456.20,454.42,1300.05841332,486,2020-11-16,10:00:00
1605524400,456.20,456.40,452.61,452.61,455.28,1224.26542354,424,2020-11-16,11:00:00
1605528000,452.62,454.61,451.94,454.15,453.55,924.44790952,327,2020-11-16,12:00:00
1605531600,454.21,456.59,453.42,456.04,455.73,1530.71411923,392,2020-11-16,13:00:00
1605535200,456.03,461.54,456.03,459.72,459.76,6196.50178636,1047,2020-11-16,14:00:00
1605538800,459.79,460.34,458.05,459.53,459.10,2145.70827554,496,2020-11-16,15:00:00
