Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1605672000,0.111168,0.111645,0.109716,0.109985,0.110994,1487700.76953793,170,2020-11-18,04:00:00
1605675600,0.110000,0.110308,0.102235,0.104774,0.106394,2578986.08611564,384,2020-11-18,05:00:00
1605679200,0.104414,0.106370,0.104282,0.105850,0.105695,850392.29719075,117,2020-11-18,06:00:00
1605682800,0.105710,0.106955,0.105000,0.106953,0.105799,408228.80193993,67,2020-11-18,07:00:00
1605686400,0.107083,0.107083,0.106484,0.106484,0.106861,278790.55383728,67,2020-11-18,08:00:00
1605690000,0.106527,0.106633,0.105813,0.105899,0.106196,369830.94997395,44,2020-11-18,09:00:00
1605693600,0.106275,0.107354,0.106036,0.107354,0.106789,537568.23225480,51,2020-11-18,10:00:00
1605697200,0.107124,0.107201,0.106500,0.106834,0.106709,396880.14888914,36,2020-11-18,11:00:00
1605700800,0.106506,0.106890,0.105925,0.106277,0.106458,404151.52336020,57,2020-11-18,12:00:00
1605704400,0.105771,0.106837,0.105104,0.105200,0.105432,339443.59323680,48,2020-11-18,13:00:00
1605708000,0.105194,0.105923,0.104759,0.105543,0.105254,819986.07040832,95,2020-11-18,14:00:00
1605711600,0.104759,0.105465,0.103600,0.105459,0.104524,433396.00093241,78,2020-11-18,15:00:00
1605715200,0.105185,0.106336,0.104848,0.105700,0.105783,214068.26675556,46,2020-11-18,16:00:00
1605718800,0.105486,0.106302,0.105486,0.106000,0.105920,369796.02945981,40,2020-11-18,17:00:00
1605722400,0.105735,0.105735,0.104786,0.104832,0.105135,602115.17018011,80,2020-11-18,18:00:00
1605726000,0.104894,0.105436,0.104215,0.104440,0.104836,394184.66115173,71,2020-11-18,19:00:00
1605729600,0.104600,0.104972,0.104350,0.104972,0.104564,136318.20937435,38,2020-11-18,20:00:00
1605733200,0.105046,0.105835,0.104888,0.105819,0.104995,222479.41889489,23,2020-11-18,21:00:00
1605736800,0.105821,0.106800,0.105780,0.106800,0.106101,306402.81520341,48,2020-11-18,22:00:00
1605740400,0.106585,0.106930,0.106478,0.106694,0.106631,469538.11294220,55,2020-11-18,23:00:00
1605744000,0.106823,0.107060,0.106152,0.106929,0.106322,723891.73430656,99,2020-11-19,00:00:00
1605747600,0.106643,0.107072,0.106643,0.106652,0.106809,143078.88606842,32,2020-11-19,01:00:00
1605751200,0.106621,0.106996,0.106386,0.106929,0.106694,177923.06893613,51,2020-11-19,02:00:00
1605754800,0.107085,0.107406,0.106905,0.106905,0.107118,177366.81343007,14,2020-11-19,03:00:00
